david,david,lagunas,Sanchez,david,0,1,2,m2.dlagunas@infomila.info,-1
eric,eric,lagunas,Pamanes,eric,0,3,-1,eric@gmail.com,1
tatiana,tatiana,Pamanes,Brubeck,tatiana,1,2,-1,tatiana@gmail.com,-1
marc,marc ,Brufau,Brufau,marc,0,1,2,mbrufau@xtec.cat,-1
bernat,bernat,Orelllana,Orelllana,bernat,0,3,-1,borellana@xtec.cat,1
felipe,felipe,gonzalez,borbon,felipe,0,3,-1,felipe@gmail.com,1
cristina,cristina,borbon,perez,cristina,1,3,-1,cristina@gmail.com,1
cristian,cristian,vazquez,quesada,cristian,0,3,-1,cristian@gmail.com,1
mireia,mireia,rodriguez,montiel,mireia,1,3,-1,mireia@gmail.com,1
rodrigo,rodrigo,diaz,vivar,rodrigo,0,3,-1,rodrigo@hotmail.com,1
alfredo,alfredo,perez,rubalcaba,alfredo,0,3,-1,alfredo@hotmail.com,1
blanca,blanca,fernandez,ochoa,blanca,1,3,-1,blanca@hotmail.com,1
marta,marta,blanco,fernandez,marta,1,3,-1,marta@hotmail.com,1
jose,jose,gotera,montiel,jose,0,3,-1,jose@hotmail.com,1
anna,anna,forcadell,rull,anna,1,3,-1,anna@gmail.com,1
juan,juan,palomo,ros,juan,0,3,-1,palomo@gmail.com,1
